chr,region,start,end,strand,gene_name
LT708304.1,SDR2,964501,964572,+,mog
LT708304.1,SDR2,964569,964994,+,moaE2
LT708304.1,SDR2,965012,965995,-,rpfA
LT708304.1,SDR13,3776651,3777152,+,BQ2027_MB3434
LT708304.1,SSR127,4137582,4137813,+,BQ2027_MB3773
LT708304.1,SSR127,4137943,4138302,+,BQ2027_MB3774
LT708304.1,SSR127,4138335,4138844,-,vapC50
LT708304.1,SSR127,4138912,4139304,-,BQ2027_MB3776C
LT708304.1,SSR127,4139580,4139795,+,BQ2027_MB3777
LT708304.1,SSR127,4139837,4139923,-,BQ2027_SERX
LT708304.1,SSR127,4139953,4140411,-,BQ2027_MB3778C
LT708304.1,SSR127,4140427,4140948,-,BQ2027_MB3779C
LT708304.1,SSR127,4141127,4142032,+,tyrA
LT708304.1,SSR127,4141995,4142594,-,BQ2027_MB3781C
LT708304.1,SSR127,4142600,4143319,-,proZ
LT708304.1,SSR127,4143316,4144005,-,proW
LT708304.1,SSR127,4143993,4145123,-,proV
LT708304.1,SSR127,4145132,4146079,-,proX
LT708304.1,SSR127,4146244,4146546,+,BQ2027_MB3786
LT708304.1,SSR127,4146568,4147623,-,fadE36
LT708304.1,SSR127,4147702,4149582,-,BQ2027_MB3788C
LT708304.1,SSR127,4149753,4150232,+,lpqH
LT708304.1,SSR127,4150288,4151715,-,tcry
LT708304.1,SSR127,4151786,4152490,-,tcrx
LT708304.1,SSR127,4152999,4153688,+,BQ2027_MB3792
LT708304.1,SSR127,4153702,4154646,-,BQ2027_MB3793C
LT708304.1,SSR127,4154776,4155135,+,BQ2027_MB3794
LT708304.1,SSR127,4155321,4155593,+,BQ2027_MB3795
LT708304.1,SSR127,4155906,4156481,-,BQ2027_MB3796C
LT708304.1,SSR127,4156587,4156769,-,BQ2027_MB3797C
LT708304.1,SSR127,4156784,4156975,-,BQ2027_MB3798C
LT708304.1,SSR127,4157110,4157436,-,BQ2027_MB3799C
LT708304.1,SSR127,4157571,4157643,-,BQ2027_ARGU
LT708304.1,SSR127,4157674,4157762,-,BQ2027_SERT
LT708304.1,SSR127,4157840,4158901,+,hisC2
LT708304.1,SSR127,4158947,4159291,-,BQ2027_MB3801C
LT708304.1,SSR127,4159296,4159532,-,BQ2027_MB3802C
LT708304.1,SSR127,4159556,4160380,+,echA21
LT708304.1,SSR127,4160392,4161639,+,lipE
LT708304.1,SSR127,4161796,4163355,+,BQ2027_MB3805
LT708304.1,SSR127,4163288,4163374,-,BQ2027_SERU
LT708304.1,SSR127,4163401,4164387,+,BQ2027_MB3806
LT708304.1,SSR127,4164406,4165602,-,BQ2027_MB3807C
LT708304.1,SSR127,4165692,4167692,+,BQ2027_MB3808
LT708304.1,SSR127,4167696,4168232,+,bpa
LT708304.1,SSR127,4168236,4169057,+,rfbE
LT708304.1,SSR127,4169054,4169968,+,glft1
LT708304.1,SSR127,4169965,4170807,+,rfbD
LT708304.1,SSR127,4170963,4171943,+,rfbB
LT708304.1,SSR127,4172027,4173100,+,BQ2027_MB3814
LT708304.1,SSR127,4173081,4174304,-,BQ2027_MB3815C
LT708304.1,SSR127,4174317,4175243,-,BQ2027_MB3816C
LT708304.1,SSR127,4175487,4175972,+,BQ2027_MB3817
LT708304.1,SSR127,4176081,4176291,+,BQ2027_MB3818
LT708304.1,SSR115,3796542,3796735,-,BQ2027_MB3455C
LT708304.1,SSR115,3796732,3797238,-,tsaE
LT708304.1,SSR115,3797235,3798461,-,alr
LT708304.1,SSR115,3798755,3799117,-,BQ2027_MB3458C
LT708304.1,SSR115,3799280,3799816,+,PPE57
LT708304.1,SSR115,3799757,3800920,-,BQ2027_MB3460C
LT708304.1,SSR115,3799757,3800920,-,BQ2027_IS1540-2
LT708304.1,SSR115,3801409,3802254,-,BQ2027_MB3461C
LT708304.1,SSR115,3801411,3802255,-,BQ2027_IS1552
LT708304.1,SSR115,3802487,3803869,-,gadB
LT708304.1,SSR115,3803907,3805328,-,nnr
LT708304.1,SSR115,3805330,3806043,-,BQ2027_MB3464C
LT708304.1,SSR115,3806054,3806541,-,BQ2027_MB3465C
LT708304.1,SSR60,1862532,1863846,+,argH
LT708304.1,SSR60,1863955,1865016,+,pks10
LT708304.1,SSR60,1865099,1871479,+,pks7
LT708304.1,SSR60,1871499,1876307,+,pks8
LT708304.1,SSR60,1876307,1877815,+,pks17
LT708304.1,SSR60,1877821,1878621,+,pks9
LT708304.1,SSR125,4075812,4076351,+,moxR2
LT708304.1,SSR125,4076485,4077807,+,BQ2027_MB3718
LT708304.1,SSR125,4077881,4078873,-,BQ2027_MB3719C
LT708304.1,SSR125,4078965,4079897,+,BQ2027_MB3720
LT708304.1,SSR125,4079961,4080758,-,glpKb
LT708304.1,SSR125,4080760,4081515,-,glpKa
LT708304.1,SSR125,4081565,4082002,-,vapc48
LT708304.1,SSR125,4081999,4082223,-,vapB48
LT708304.1,SSR125,4082253,4083782,+,BQ2027_MB3724
LT708304.1,SSR125,4083804,4084505,+,BQ2027_MB3725
LT708304.1,SSR125,4084508,4085680,-,egtE
LT708304.1,SSR125,4085711,4085811,-,egtD
LT708304.1,SSR14,495763,496027,+,ackA
LT708304.1,SSR14,496081,498333,-,pknG
LT708304.1,SSR14,498333,499319,-,glnH
LT708304.1,SSR14,499319,500638,-,BQ2027_MB0420C
LT708304.1,SSR14,500732,501385,+,mutT3
LT708304.1,SSR14,501369,502037,-,thiE
LT708304.1,SSR14,502167,503189,+,thiO
LT708304.1,SSR14,503186,503392,+,thiS
LT708304.1,SSR14,503385,504143,+,thiG
LT708304.1,SSR14,504515,505762,+,lpqL
LT708304.1,SSR123,4029702,4029837,-,BQ2027_MB3671C
LT708304.1,SSR123,4029977,4030180,-,cspA
LT708304.1,SSR123,4030430,4032745,+,BQ2027_MB3673
LT708304.1,SSR123,4032882,4033166,+,PE33
LT708304.1,SSR123,4033490,4034527,+,BQ2027_MB3675
LT708304.1,SSR123,4035281,4035595,+,PE_PGRS60
LT708304.1,SSR123,4035589,4036302,+,PE_PGRS61
LT708304.1,SSR123,4036419,4036673,-,BQ2027_MB3678C
LT708304.1,SSR123,4036759,4037058,-,BQ2027_MB3679C
LT708304.1,SSR123,4037082,4037288,-,BQ2027_MB3680C
LT708304.1,SSR123,4037298,4037873,-,BQ2027_MB3681C
LT708304.1,SSR123,4037897,4038697,-,BQ2027_MB3682C
LT708304.1,SSR123,4038694,4039752,-,BQ2027_MB3683C
LT708304.1,SSR123,4039854,4040906,-,BQ2027_MB3684C
LT708304.1,SSR123,4041406,4042269,+,BQ2027_MB3685
LT708304.1,SSR123,4043024,4043794,-,BQ2027_MB3686C
LT708304.1,SSR123,4043791,4044921,-,dppD
LT708304.1,SSR85,2622042,2622456,-,phoH1
LT708304.1,SSR85,2622428,2622730,-,BQ2027_MB2390C
LT708304.1,SSR85,2622727,2624040,-,BQ2027_MB2391C
LT708304.1,SSR85,2624235,2624420,+,PE_PGRS40
LT708304.1,SSR85,2624519,2625307,-,rsmE
LT708304.1,SSR85,2625321,2626469,-,dnaJ2
LT708304.1,SSR85,2626544,2627575,-,hrcA
LT708304.1,SSR85,2627747,2628064,+,BQ2027_MB2396
LT708304.1,SSR85,2628091,2628597,-,cfp2
LT708304.1,SSR85,2628697,2628912,-,mbtH
LT708304.1,SSR85,2628890,2630185,-,mbtG
LT708304.1,SSR85,2630182,2634567,-,mbtF
LT708304.1,SSR85,2634549,2639597,-,mbtE
LT708304.1,SSR85,2639737,2640741,-,mbtD
LT708304.1,SSR109,3526842,3527323,+,BQ2027_MB3220
LT708304.1,SSR109,3527357,3527635,-,whiB7
LT708304.1,SSR109,3528065,3530167,-,uvrD2
LT708304.1,SSR109,3530291,3530545,+,BQ2027_MB3223
LT708304.1,SSR109,3530558,3531499,-,nudC
LT708304.1,SSR109,3531558,3532625,-,BQ2027_MB3225C
LT708304.1,SSR109,3532687,3535992,-,BQ2027_MB3226C
LT708304.1,SSR109,3535989,3536841,-,BQ2027_MB3227C
LT708304.1,SSR65,2020872,2021262,+,PPE25
LT708304.1,SSR65,2021341,2021640,+,PE18
LT708304.1,SSR65,2021654,2022835,+,PPE26
LT708304.1,SSR65,2023289,2024341,+,PPE27
LT708304.1,SSR65,2024768,2025067,+,PE19
LT708304.1,SSR65,2025211,2025507,+,esxM
LT708304.1,SSR65,2025558,2025842,+,esxN
LT708304.1,SSR65,2025930,2026832,+,espG5
LT708304.1,SSR65,2027104,2028615,+,eccd5
LT708304.1,SSR65,2028593,2030350,+,mycp5
LT708304.1,SSR65,2030347,2031567,+,ecce5
LT708304.1,SSR65,2031564,2031741,+,ecca5
LT708304.1,SDR6,2192351,2193397,+,BQ2027_MB1980
LT708304.1,SDR6,2193552,2194000,-,lppG
LT708304.1,SSR8,213022,213203,-,BQ2027_MB0187C
LT708304.1,SSR8,213220,214332,-,sigG
LT708304.1,SSR8,214280,215119,+,BQ2027_MB0189
LT708304.1,SSR8,215161,215910,+,BQ2027_MB0190
LT708304.1,SSR8,215907,216416,+,BQ2027_MB0191
LT708304.1,SSR8,216461,218536,+,bglS
LT708304.1,SSR8,218582,218743,-,mymT
LT708304.1,SSR8,218897,219559,+,BQ2027_MB0193
LT708304.1,SSR8,219678,220109,+,BQ2027_MB0194
LT708304.1,SSR8,220188,221915,-,ilvD
LT708304.1,SSR8,222063,222353,+,ricR
LT708304.1,SSR8,222481,223722,+,BQ2027_MB0197
LT708304.1,SSR8,223799,224761,+,BQ2027_MB0198
LT708304.1,SSR118,3862662,3863405,-,mce4F
LT708304.1,SSR118,3863416,3864570,-,lprN
LT708304.1,SSR118,3864567,3865922,-,mce4D
LT708304.1,SSR118,3865919,3866992,-,mce4C
LT708304.1,SSR118,3866982,3868034,-,mce4B
LT708304.1,SSR118,3868034,3869236,-,mce4A
LT708304.1,SSR118,3869256,3870098,-,yrbE4B
LT708304.1,SSR118,3870133,3870897,-,yrbE4A
LT708304.1,SSR118,3871123,3872076,-,BQ2027_MB3532C
